GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.piggymetrics.account.controller,AccountController,8,44,4,4,2,9,4,5,0,5
account-service,com.piggymetrics.account.controller,ErrorHandler,17,0,0,0,4,0,2,0,2,0
account-service,com.piggymetrics.account.service,AccountServiceImpl,7,148,2,6,1,37,2,6,0,4
account-service,com.piggymetrics.account.domain,Item,0,38,0,0,0,16,0,11,0,11
account-service,com.piggymetrics.account.domain,TimePeriod,0,33,0,0,0,2,0,1,0,1
account-service,com.piggymetrics.account.domain,Account,0,45,0,0,0,19,0,13,0,13
account-service,com.piggymetrics.account.domain,Saving,0,38,0,0,0,16,0,11,0,11
account-service,com.piggymetrics.account.domain,Currency,0,23,0,0,0,3,0,2,0,2
account-service,com.piggymetrics.account.domain,User,0,17,0,0,0,7,0,5,0,5
account-service,com.piggymetrics.account.client,StatisticsServiceClientFallback,1,26,2,2,0,6,2,3,0,3
account-service,com.piggymetrics.account.repository,AccountRepository,19,0,0,0,4,0,3,0,3,0
